id_,address,city,country,latitude,longitude,name_,postalCode,province,twitter,websites
AV1Tqvo9FcQ3k02bFcJd,2620 Walnut St,Denver,US,39.759375,-104.985527,10 Barrel Brewing Company Denver,80205,CO,,https://10barrel.com/
AV1c8mRnIxWefVJwei6K,5951 Marion Dr A,Denver,US,39.8048,-104.9708,Action Enterprises Inc,80216,CO,,
AV1c8ygNRxPSIh2RZAZy,1505 Ogden St,Denver,US,39.7401,-104.9748,Alpine Dog Brewery,80218,CO,,http://alpinedogbrewery.com
AVwedkCeByjofQCxybH_,1455 E 62nd Ave,Denver,US,39.8093,-104.9707,Anheuser-Busch Co,80216,CO,,http://www.buddenver.com
AVwcv4s-kufWRAb5ymNk,320 N Broadway,Denver,US,39.721387,-104.986952,Baere Brewing Co.,80203,CO,baerebrewing,http://www.baerebrewing.com
AV1Tq2aT3D1zeR_xE_BP,1946 E 66th Ave,Denver,US,39.81588,-104.964806,Balistreri Vineyards,80229,CO,,http://www.balistreriwine.com
AVwdF6R5kufWRAb52N_K,470 Broadway,Denver,US,39.723577,-104.987301,Banded Oak Brewing Company,80203,CO,,
AV5Xys4HRxPSIh2Riuha,320 Broadway,Denver,US,39.7214,-104.9871,Bare Brewing Co,80203,CO,,
AV1c8mQl3-Khe5l_MT_x,1057 S Wadsworth Blvd,Denver,US,39.6976,-105.0814,Barley Haven,80226,CO,barleyhaven,http://barleyhaven.com
AV1eRcjBRxPSIh2RZzKl,2100 E 112th Ave,Denver,US,,,Beer By Design,80233,CO,,
AVwdg5sWIN2L1WUfwkAx,3120 Blake St,Denver,US,39.7647,-104.9807,Beryl's Beer Co.,80205,CO,berylsbeerco,http://berylsbeercompany.com
AVwcqm15ByjofQCxg1ZB,3719 Walnut St,Denver,US,39.76978177,-104.9728693,Black Shirt Brewing Co.,80205,CO,,http://blackshirtbrewingco.com
AVwdzEfvByjofQCxsmMV,490 Santa Fe Dr,Denver,US,39.72394,-104.99828,Black Sky Brewery,80204,CO,,http://blackskybrewing.com
AV1Tqvzl-gnIPe8DWjvG,3750 Chestnut Pl,Denver,US,39.77357,-104.976911,Blue Moon Brewing Company,80216,CO,,https://www.bluemoonbrewingcompany.com/
AVwdQdHXIN2L1WUft5XE,W Jeppesen Terminal 5,Denver,US,39.84875971,-104.6737427,Boulder Beer Tap House,80249,CO,,http://boulderbeer.com
AVwdOyrQkufWRAb53sQx,471 Kalamath St,Denver,US,39.72361,-105.00019,Breckenridge Brewery and BBQ,80204,CO,breckbrew,http://www.breckbrew.com
AVwdWzDyByjofQCxoQQP,2220 Blake St,Denver,US,39.75638065,-104.9913603,Breckenridge Colorado Craft,80205,CO,breckbrew,http://www.breckbrew.com
AVweYe--_7pvs4fzCfNd,2801 Walnut Saint C,Denver,US,39.761323,-104.983802,Brew 'n Q,80205,CO,,
AVwdnTRdIN2L1WUfxjjs,9650 E 40th Ave,Denver,US,39.773177,-104.874145,Brewers Supply Group,80238,CO,,
AVwed-ZV_7pvs4fzDQ7B,150 Kalamath St,Denver,US,39.719337,-104.99998,Brewery Bar II,80223,CO,brewbar3,"http://www.brewerybar3.com/index.html,http://brewerybars.com"
AVz-5XdbFcQ3k02bDl71,2298 N Clay St,Denver,US,,,Briar Common,80211,CO,,
AVzBEfJ3-gnIPe8DSjHK,1675 W 67th Ave #100,Denver,US,,,Bruz Beers,80221,CO,,
AVwdlpKEByjofQCxqlzy,4700 E Cherry Creek South Dr,Denver,US,39.70308124,-104.9324887,Bull & Bush Pub & Brewery,80246,CO,bandbmanbeer,http://bullandbush.com
AVweAbyDByjofQCxucec,2875 Blake St,Denver,US,,,C Squared Ciders,80205,CO,csquaredciders,
AV1Tq7q3LD2H7whiaHU6,1257 West 120th Avenue,Denver,US,39.91493,-105.00075,C. B. & Potts Bighorn Brewing Company,80234,CO,,http://www.cbpotts.com/colorado/westminster.html
AVwcxfhVByjofQCxiCYX,4526 Tennyson St,Denver,US,39.77887,-105.04363,Call to Arms Brewing Company,80212,CO,,"http://calltoarmsbrewing.com/,http://calltoarmsbrewing.com"
AVzA9Pk_-gnIPe8DSe2S,1057 S Wadsworth Blvd,Denver,US,,,CAUTION: Brewing Company,80226,CO,cautionbrewing,http://cautionbrewingco.com
AV1TquITLD2H7whiaGIE,1477 Monroe Street,Denver,US,39.739752,-104.94508,Cerebral Brewing,,CO,cerebralbrewing,http://cerebralbrewing.com/
AVwcxHpPByjofQCxh-AC,902 S Lipan St,Denver,US,39.69975735,-105.0013854,Chain Reaction Brewery,80223,CO,,
AV1c8mROIxWefVJwei6F,3825 York St,Denver,US,39.7704,-104.9618,Coca-Cola Bottling Co.,80205,CO,,
AVwdHRaakufWRAb52b8v,2560 W 2nd Ave,Denver,US,39.71925849,-105.0192462,Colorado Cider Company,80219,CO,co_cider,http://coloradocider.com
AVwcke0xByjofQCxfvU1,7667 E Iliff Ave,Denver,US,,,Comrade Brewing Company,80231,CO,comradebrewing,
AVwcwAKFIN2L1WUfoeR1,1338 S Valentia St,Denver,US,39.6925,-104.8905,Copper Kettle Brewing Company,80247,CO,copperkettleden,http://www.copperkettledenver.com
AVwdsVLzByjofQCxroAU,471 Kalamath St,Denver,US,39.723645,-105.000371,Crazy Mountain Brewery,80204,CO,crazymtnbrewery,http://www.crazymountainbrewery.com
AVwdTptL_7pvs4fz4fpQ,7314 Washington St,Denver,US,,,Creede Brewing Company,80229,CO,,
AVwd47yeByjofQCxtZH9,3350 Brighton Blvd,Denver,US,39.76862129,-104.979453,Crooked Stave @ The Source,80216,CO,,http://www.crookedstave.com
AVwdXuz5ByjofQCxoaZj,4342 Tennyson St,Denver,US,39.77606,-105.04398,De Steeg Brewing,80212,CO,,"http://desteegbrewing.com/,http://desteegbrewing.com"
AVwdyiaI_7pvs4fz9SmK,2030 S Cherokee St,Denver,US,39.679752,-104.990773,Declaration Brewing,80223,CO,declarationbrew,"http://www.declarationbrewing.com/,http://declarationbrewing.com"
AVwdA-oyByjofQCxknTn,1604 17th St,Denver,US,,,Deep Draft Brewing,80218,CO,deepdraftbrew,http://deepdraftbrewery.com
AV12kK2a3-Khe5l_P2M6,1390 W Evans Ave,Denver,US,39.6769,-105.0051,Del Norte Brewing Co,80223,CO,,
AVwcj-h_ByjofQCxfpKf,1695 Platte St,Denver,US,39.758293,-105.007188,Denver Beer Co.,80202,CO,denverbeerco,http://denverbeerco.com
