,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address
0,EjNI-dNAMrYxKgUIkqeqhg,guard-and-grace-denver,Guard and Grace,https://s3-media2.fl.yelpcdn.com/bphoto/UNuFWyjh6evY85FeMPPoQQ/o.jpg,False,https://www.yelp.com/biz/guard-and-grace-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,1111,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.5,['delivery'],$$$,+13032938500,(303) 293-8500,2140.4033736245196,39.7476811908831,-104.989654496312,1801 California St,,,Denver,80202,US,CO,"['1801 California St', 'Denver, CO 80202']"
1,N_tX1pJz92Ls-4sMQvMLpA,postino-lohi-denver-7,Postino LoHi,https://s3-media4.fl.yelpcdn.com/bphoto/ahKygoarP70QcAFQg6U6Lg/o.jpg,False,https://www.yelp.com/biz/postino-lohi-denver-7?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,628,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"['pickup', 'delivery']",$$,+13034336363,(303) 433-6363,4494.647303313506,39.76151,-105.01045,2715 17th St,,,Denver,80211,US,CO,"['2715 17th St', 'Denver, CO 80211']"
2,ziS-GJn-3Ux6t5l-0IUNog,the-capital-grille-denver-3,The Capital Grille,https://s3-media2.fl.yelpcdn.com/bphoto/vAOEONNlq5dbPA9iZaHUGQ/o.jpg,False,https://www.yelp.com/biz/the-capital-grille-denver-3?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,669,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,[],$$$$,+13035392500,(303) 539-2500,2791.5904105017594,39.747876,-104.99867,1450 Larimer St,,,Denver,80202,US,CO,"['1450 Larimer St', 'Denver, CO 80202']"
3,-ZOAH1WtmplaHG5xP5Kijw,ambli-mexico-denver,Ambli Mexico,https://s3-media4.fl.yelpcdn.com/bphoto/gEzsG-RjjSlOw96rLORGtA/o.jpg,False,https://www.yelp.com/biz/ambli-mexico-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,431,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,['delivery'],$$,+13033559463,(303) 355-9463,5359.96937026475,39.705925,-104.920782272283,600 S Holly St,,,Denver,80246,US,CO,"['600 S Holly St', 'Denver, CO 80246']"
4,uOgwMiqcxqkHl8z4mkFPkQ,hudson-hill-denver,Hudson Hill,https://s3-media3.fl.yelpcdn.com/bphoto/qioL_iYEL3_6Ywpms84LIA/o.jpg,False,https://www.yelp.com/biz/hudson-hill-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,234,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,['delivery'],$$,+13038320776,(303) 832-0776,800.8200987535582,39.73695,-104.97937,619 E 13th Ave,,,Denver,80203,US,CO,"['619 E 13th Ave', 'Denver, CO 80203']"
5,FcyalVpVWzOHCYJnQDTLPw,leven-deli-denver-8,Leven Deli,https://s3-media4.fl.yelpcdn.com/bphoto/b0jahbl40vNN0x5JOx0k3Q/o.jpg,False,https://www.yelp.com/biz/leven-deli-denver-8?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,213,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,"['pickup', 'delivery']",$$,+13033255691,(303) 325-5691,1675.628880964664,39.73547386,-104.98984114,123 W 12th Ave,,,Denver,80204,US,CO,"['123 W 12th Ave', 'Denver, CO 80204']"
6,ct0Jmy8KNGknmOs1apTKCA,bettola-bistro-denver,Bettola Bistro,https://s3-media3.fl.yelpcdn.com/bphoto/NbIIPe1BFInGykMKx92hJQ/o.jpg,False,https://www.yelp.com/biz/bettola-bistro-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,231,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,['delivery'],$$,+13037501580,(303) 750-1580,10954.70379221581,39.6749149,-104.8680037,10253 E Iliff Ave,,,Denver,80247,US,CO,"['10253 E Iliff Ave', 'Denver, CO 80247']"
7,0-O-xCaxbO-ftWVEYVrRlg,barcelona-wine-bar-rino-denver,Barcelona Wine Bar RiNo,https://s3-media2.fl.yelpcdn.com/bphoto/70kVYvgrJzqJrCoaJ66aBQ/o.jpg,False,https://www.yelp.com/biz/barcelona-wine-bar-rino-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,508,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'spanish', 'title': 'Spanish'}]",4.0,['delivery'],$$,+13038163300,(303) 816-3300,3015.517481703019,39.76129,-104.9813,2900 Larimer St,,,Denver,80205,US,CO,"['2900 Larimer St', 'Denver, CO 80205']"
8,ydbPYReX0IrY1D41fLB3pA,table-6-denver,Table 6,https://s3-media1.fl.yelpcdn.com/bphoto/_gRZWO6_DvOnp8P-R_UKGg/o.jpg,False,https://www.yelp.com/biz/table-6-denver?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,465,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.0,['delivery'],$$,+13038318800,(303) 831-8800,1132.5568514465483,39.7258,-104.97428,609 Corona St,,,Denver,80218,US,CO,"['609 Corona St', 'Denver, CO 80218']"
9,pNVL0J-qaChARXtjXH3jHw,crú-food-and-wine-bar-denver-2,CRÚ Food & Wine Bar,https://s3-media3.fl.yelpcdn.com/bphoto/DNdB5AK458KR4A1YURnlxw/o.jpg,False,https://www.yelp.com/biz/cr%C3%BA-food-and-wine-bar-denver-2?adjust_creative=2HS7cwZSZjB4KpQC_8JOTw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2HS7cwZSZjB4KpQC_8JOTw,409,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.0,[],$$,+13038939463,(303) 893-9463,2805.1335490860165,39.7477912902832,-104.998741149902,1442 Larimer St,,,Denver,80202,US,CO,"['1442 Larimer St', 'Denver, CO 80202']"
