id_,address,categories,city,country,latitude,longitude,name_,postalCode,province,twitter,websites
AVwej-w3IN2L1WUf6HK8,1290 S Broadway,Brewery,Denver,US,,,Former Future Brewing Company,80210,CO,formerfutureco,http://embracegoodtaste.com
AVwdQuH3ByjofQCxnPfO,1660 Champa St,Breweries & Wineries,Denver,US,39.747169,-104.993057,D'vine Wine Denver,80202,CO,,http://www.dvinewineusa.com
AVwc2E2VIN2L1WUfphDU,1555 Blake St,"Music Venue,Bar and Music Venue,Bar,Pubs,Bars & Pubs,Sports Bars,Breweries",Denver,US,39.750288,-104.999768,World of Beer,80202,CO,mapquest,"http://worldofbeer.com/Locations/Lodo,http://mapquest.com"
AVwdhk0DIN2L1WUfwqtr,7260 W Alaska Dr,"Music Venue,Bars & Pubs,Pubs,Breweries,Bar",Denver,US,39.709068,-105.077258,World of Beer,80226,CO,,http://worldofbeer.com/Locations/Belmar
AVwcizXVkufWRAb5wVk8,1257 W 120th Ave,"American Restaurant,Brewery,Fast Food Restaurants,Bars,American Restaurants,Brew Pubs,Restaurants,Sandwich Shops,Hamburgers & Hot Dogs,Steak Houses,Bar & Grills,Family Style Restaurants,Delicatessens,Seafood Restaurants,Taverns",Denver,US,39.91492837,-105.0008433,C.b. & Potts,80234,Westminster,,http://cbpotts.com
AVwdQdHXIN2L1WUft5XE,W Jeppesen Terminal 5,"Airport Lounge,Brewery,Bar",Denver,US,39.84875971,-104.6737427,Boulder Beer Tap House,80249,CO,,http://boulderbeer.com
AV3c1vwHRxPSIh2ReNwR,1735 19th St,Brewers,Denver,US,,,Chophouse,80202,CO,,
AV1TrojULD2H7whiaK47,1875 S. Pearl St,"Restaurant,Pubs,Brewery",Denver,US,39.682568,-104.98078,Denver pearl brewing,,CO,,
AVweKWNq_7pvs4fzAlSQ,1309 26th St,"Brewers,Restaurants",Denver,US,39.758587,-104.98543,First Draft,80205,CO,,http://www.firstdraftdenver.com
AVzA9Pl5-gnIPe8DSe2T,6733 W Colfax Ave,"Brewers,Brewery",Denver,US,,,Westfax Brewing Co,80214,CO,,
AV2gdeO6RxPSIh2RdWgA,1001 16th St A100,Brewers,Denver,US,,,Walnut Brewery Inc,80265,CO,,
AV5Xwy92IxWefVJwoOhF,1338 S Valentia St 100,Brewers,Denver,US,39.6925,-104.8905,Copper Kettle Brewing Co,80247,CO,,
AV3c1vxlIxWefVJwjyA4,902 S Lipan St,Brewers,Denver,US,39.6995,-105.0012,Chain Reaction Brewing Co,80223,CO,,
AV1eRow0a4HuVbed6skR,2650 W 2nd Ave 10,"Brewers,Wineries",Denver,US,39.7203,-105.0194,Colorado Cider Co,80219,CO,,
AVwedkCeByjofQCxybH_,1455 E 62nd Ave,"Brewers,Wineries,Wholesale Foods,Wholesale Beer,Denver,Venues,Breweries,Bar,Beer & Ale Distributors",Denver,US,39.8093,-104.9707,Anheuser-Busch Co,80216,CO,,http://www.buddenver.com
AV2gdeHWa4HuVbed-NY8,2401 Blake St,Brewers,Denver,US,39.7584,-104.9894,Spruce Tap House,80205,CO,,
AV1c8ygba4HuVbed5-tc,2401 Blake St 1,Brewers,Denver,US,39.7585,-104.9891,River North Brewery,80205,CO,,
AV1c8yf9IxWefVJwejwd,216 16th St,Brewers,Denver,US,39.7419,-104.9881,Molson Coors Brewing Co,80202,CO,,
AV5NZZTxa4HuVbedB2d_,Denver International Airport,"Restaurant,American,Pizza,Pubs,Brewery",Denver,US,39.73958,-104.98731,Rock Bottom Restaurant & Brewery,,Colorado,,
AV1thaMpa4HuVbed8ZW4,2620 Walnut St,"Brewery,Restaurant",Denver,US,39.75939,-104.9855,10barrel brewing,80205,CO,,
AVwdnZnZByjofQCxq3gg,1477 Monroe St,"Brewery,Beer Garden,Brewery and Beer Garden Congress Park",Denver,US,,,Cerebral Brewing,80206,CO,cerebralbrewing,http://cerebralbrewing.com
AV1c8ygSIxWefVJwejwl,925 W 9th Ave,"Bars And Pubs,Craft Breweries,Brewers",Denver,US,39.7305,-104.9993,Renegade Brewing Company,80204,CO,,
AVwdNVWq_7pvs4fz3amR,2736 Welton St,"Brewery,Brewers,Restaurant,Spa",Denver,US,39.7551,-104.9771,Spangalang Brewery,80205,CO,,http://spangalangbrewery.com
AVwchFFvByjofQCxfGTZ,1001 16th St,"Brewery,American Restaurant,Bar,Brewery, American Restaurant, and Bar,Brewery, American Restaurant, and Bar Central Business District",Denver,US,39.7474795,-104.994972,Rock Bottom Brewery,80265,CO,rockbottom,http://rockbottom.com/Denver-Downtown
AVwcj-h_ByjofQCxfpKf,1695 Platte St,"Brewery,Bars And Pubs,Beer & Ale Distributors",Denver,US,39.758293,-105.007188,Denver Beer Co.,80202,CO,denverbeerco,http://denverbeerco.com
AVwdWzDyByjofQCxoQQP,2220 Blake St,"Brewery,American Restaurant",Denver,US,39.75638065,-104.9913603,Breckenridge Colorado Craft,80205,CO,breckbrew,http://www.breckbrew.com
AVwcxfhVByjofQCxiCYX,4526 Tennyson St,"Restaurant,Bar,Brewery,Breweries,Brewery Berkeley",Denver,US,39.77887,-105.04363,Call to Arms Brewing Company,80212,CO,,"http://calltoarmsbrewing.com/,http://calltoarmsbrewing.com"
AV1TqysE3D1zeR_xE-pV,8700 Pena Blvd,"Restaurant,American,Pubs,Brewery",Denver,US,39.839657,-104.67186,Denver Chophouse and Brewery,80249,CO,,
AVwcxObjkufWRAb5y05Z,24 Broadway,"Restaurant,Pubs,Bar,American Restaurant,Beverage Manufacturers,Manufacturers,Brewers,Food Manufacturers,Restaurants,Bar and American Restaurant,Bar and American Restaurant Central Denver",Denver,US,39.71699,-104.987366,Historian's Ale House,80203,CO,hahdenver,"http://www.historiansalehouse.com/,http://historiansalehouse.com"
AVwdc6ZOIN2L1WUfv-Ab,1634 18th St,"Restaurant,Brewery,Restaurants,Billiards Pool Halls,Bars Pubs,Billiards Bars,Brew Pubs",Denver,US,39.753357,-104.99854,Wynkoop Brewing Company,80202,CO,wynkoop,http://www.wynkoop.com/
AVwdyiaI_7pvs4fz9SmK,2030 S Cherokee St,"Restaurant,Brewery,Brewers",Denver,US,39.679752,-104.990773,Declaration Brewing,80223,CO,declarationbrew,"http://www.declarationbrewing.com/,http://declarationbrewing.com"
AV1Tq7q3LD2H7whiaHU6,1257 West 120th Avenue,"Restaurant,American,Burgers,Steak House,Brewery",Denver,US,39.91493,-105.00075,C. B. & Potts Bighorn Brewing Company,80234,CO,,http://www.cbpotts.com/colorado/westminster.html
AVwdF6R5kufWRAb52N_K,470 Broadway,"Beer & Ale Retail,Breweries,Beer & Ale Distributors",Denver,US,39.723577,-104.987301,Banded Oak Brewing Company,80203,CO,,
AVwdEUh8kufWRAb5191g,Gate A63,"Brewery and Pub Denver International Airport,brewery",Denver,US,,,New Belgium Brewing Spoke,,CO,,
AV1TquITLD2H7whiaGIE,1477 Monroe Street,"Restaurant,Brewery",Denver,US,39.739752,-104.94508,Cerebral Brewing,,CO,,http://cerebralbrewing.com/
AV3c1vyNRxPSIh2ReNwT,1715 E Evans Ave,Brewers,Denver,US,,,Fermaentra Brewery And Tap Room,80210,CO,,
AV50ndvBa4HuVbedEKyN,8500 Pena Blvd B80,"Breweries and brew pubs,Restaurants,American restaurants",Denver,US,,,New Belgium Hub,80249,CO,,
AV50pPjYIxWefVJwpp-S,2220 Blake St,"Breweries and brew pubs,Restaurants,Bar and grill restaurants,Pub restaurants",Denver,US,,,Breckenridge On Blake,80205,CO,,
AVz-4KMHFcQ3k02bDl7p,2355 W 29th Ave. Denver CO,Brewery,Denver,US,,,Zuni Street Brewing Company,80211,CO,,
AVwdJZrPIN2L1WUfsrsq,3855 Mariposa St,"Brewery,Brewery Sunnyside",Denver,US,39.769974,-105.00296,Diebolt Brewing Co.,80211,CO,,http://dieboltbrewing.com
AVwczN_9ByjofQCxiUy4,800 Lincoln St,brewery,Denver,US,39.729307,-104.98576,Lowdown Brewery+kitchen,80203,CO,lowdownbrewery,http://www.mapsco.com
AVwcoCnhByjofQCxgYec,4731 Lipan St,"Winemaking Equipment & Supplies,Wineries Equipment & Supplies,Brewer Equipment Supplies & Services",Denver,US,39.782295,-105.001843,Stomp Them Grapes Llc,80211,CO,stompthemgrapes,
AVwcqm15ByjofQCxg1ZB,3719 Walnut St,"Brewery,Performing Arts Venue,Liquor Stores,Restaurants,Brewery and Performing Arts Venue Five Points,Brewery and Performing Arts Venue",Denver,US,39.76978177,-104.9728693,Black Shirt Brewing Co.,80205,CO,,http://blackshirtbrewingco.com
AVweU18zIN2L1WUf38Oa,2161 Blake St,"Restaurant,American,Breakfast & Brunch,Pubs,Brewery,Breweries and brew pubs,Restaurants,Bar and grill restaurants,Pub restaurants,Brewers,Wineries,Taverns,Brew Pubs,Bars,Beer & Ale",Denver,US,39.755753,-104.99242,Sandlot Brewery,80205,CO,,http://bluemoon.com
AV1TroAf3D1zeR_xFDDg,2540 19th Street,"Restaurant,German,Breweries,Brew Pubs",Denver,US,39.761196,-105.00674,Prost Brewing,80211,CO,,https://prostbrewing.com/
AVwdMaE3IN2L1WUftMkM,3001 Walnut St,Brewery,Denver,US,39.76317,-104.981319,Epic Brewing Denver,80205,CO,,http://epicbrewing.com
AVwdzEfvByjofQCxsmMV,490 Santa Fe Dr,"Brewery,Beer Garden,Breweries and brew pubs,Pizza,Restaurants,Pub restaurants,Restaurant,Brewery and Beer Garden,Brewery and Beer Garden Baker",Denver,US,39.72394,-104.99828,Black Sky Brewery,80204,CO,,http://blackskybrewing.com
AVwc0bZfkufWRAb5zW0v,2540 19th St,"Brewery,Restaurant,Brewery Highland",Denver,US,39.76138,-105.00667,Prost Brewing,80211,CO,prostbrewing,http://www.prostbrewing.com
